,C,penalty,precision,recall,ROC,f1,acc
0,0.1,l1,0.6805369127516778,0.6797074954296161,0.680297433721634,0.6801219512195121,0.6802973977695167
1,0.1,l2,0.6758162031438936,0.6811700182815357,0.6771891047039078,0.6784825493171472,0.6771893473094034
2,0.1,elasticnet,0.6764705882352942,0.6811700182815357,0.6776766717443758,0.6788121697941337,0.67767688463648
3,0.5,l1,0.6852235351443537,0.6855575868372943,0.6852946393474624,0.6853905202875594,0.6852946553720519
4,0.5,l2,0.6827603023652767,0.6825106642291285,0.6826741522023263,0.6826354604741879,0.6826741422390151
5,0.5,elasticnet,0.6832744548666099,0.6836075563680682,0.6833444900319133,0.6834409650298526,0.6833445060637455
6,1.0,l1,0.6861171893994651,0.6878732480195003,0.6865743616986824,0.6869940965248615,0.686574440855628
7,1.0,l2,0.6838968620773535,0.685313833028641,0.6842585742422581,0.6846046143544166,0.6842586385520142
8,1.0,elasticnet,0.6847482364388227,0.6861669713589275,0.6851117645678109,0.6854568697875448,0.6851118288743981
9,5.0,l1,0.6856102003642988,0.6881170018281536,0.6862696174425994,0.6868613138686133,0.6862697300262052
10,5.0,l2,0.6871345029239766,0.6873857404021938,0.6871838502108482,0.6872600987022482,0.6871838625144737
11,5.0,elasticnet,0.6865562591329761,0.6871419865935405,0.6866962980261706,0.6868489979898886,0.6866963251873972
12,10.0,l1,0.6854055366682856,0.687995124923827,0.6860867872303191,0.6866978894227845,0.6860869035285514
13,10.0,l2,0.686678032148076,0.6872638634978672,0.6868181823583923,0.6869708229274533,0.6868182095191663
14,10.0,elasticnet,0.686055001216841,0.6871419865935405,0.6863306227458196,0.6865980636911648,0.6863306721920897
15,15.0,l1,0.6854437295131722,0.6881170018281536,0.6861477256824825,0.6867777642622552,0.686147845694436
16,15.0,l2,0.6863509070985023,0.6870201096892139,0.6865134678138902,0.6866853453526617,0.6865134986897434
17,15.0,elasticnet,0.6860861104354171,0.6875076173065204,0.686452492222251,0.6867961283253181,0.6864525565238588
18,20.0,l1,0.6855651329367488,0.6882388787324802,0.6862696100147043,0.6868994039654545,0.6862697300262052
19,20.0,l2,0.6859715293831367,0.6871419865935405,0.6862696768657611,0.6865562591329761,0.6862697300262052
20,20.0,elasticnet,0.6862912054494587,0.6876294942108471,0.6866353224345313,0.6869596980396931,0.6866353830215126
