,C,kernel,precision,recall,ROC,f1,acc
0,0.1,linear,0.6044776119402985,0.574468085106383,0.599290780141844,0.5890909090909092,0.599290780141844
1,0.1,poly_2,0.6115107913669064,0.6028368794326241,0.6099290780141844,0.607142857142857,0.6099290780141844
2,0.1,poly_3,0.6159420289855072,0.6028368794326241,0.6134751773049645,0.6093189964157706,0.6134751773049646
3,0.1,poly_4,0.6124031007751938,0.5602836879432624,0.602836879432624,0.5851851851851851,0.6028368794326241
4,0.1,poly_5,0.6178861788617886,0.5390070921985816,0.6028368794326242,0.5757575757575757,0.6028368794326241
5,0.1,poly_6,0.5815602836879432,0.5815602836879432,0.5815602836879432,0.5815602836879432,0.5815602836879432
6,0.1,rbf,0.635593220338983,0.5319148936170213,0.6134751773049645,0.5791505791505791,0.6134751773049646
7,0.1,sigmoid,0.6857142857142857,0.1702127659574468,0.5460992907801419,0.2727272727272727,0.5460992907801419
8,0.5,linear,0.6384615384615384,0.5886524822695035,0.6276595744680852,0.6125461254612545,0.6276595744680851
9,0.5,poly_2,0.6209677419354839,0.5460992907801419,0.6063829787234043,0.5811320754716982,0.6063829787234043
10,0.5,poly_3,0.616,0.5460992907801419,0.6028368794326241,0.5789473684210527,0.6028368794326241
11,0.5,poly_4,0.5673758865248227,0.5673758865248227,0.5673758865248226,0.5673758865248227,0.5673758865248227
12,0.5,poly_5,0.5724137931034483,0.5886524822695035,0.574468085106383,0.5804195804195803,0.574468085106383
13,0.5,poly_6,0.5797101449275363,0.5673758865248227,0.5780141843971631,0.5734767025089605,0.5780141843971631
14,0.5,rbf,0.6141732283464567,0.5531914893617021,0.6028368794326242,0.5820895522388061,0.6028368794326241
15,0.5,sigmoid,0.6268656716417911,0.2978723404255319,0.5602836879432624,0.40384615384615385,0.5602836879432624
16,1.0,linear,0.6384615384615384,0.5886524822695035,0.6276595744680852,0.6125461254612545,0.6276595744680851
17,1.0,poly_2,0.6178861788617886,0.5390070921985816,0.6028368794326242,0.5757575757575757,0.6028368794326241
18,1.0,poly_3,0.5746268656716418,0.5460992907801419,0.5709219858156028,0.56,0.5709219858156028
19,1.0,poly_4,0.5763888888888888,0.5886524822695035,0.5780141843971631,0.582456140350877,0.5780141843971631
20,1.0,poly_5,0.5869565217391305,0.574468085106383,0.5851063829787234,0.5806451612903226,0.5851063829787234
21,1.0,poly_6,0.624113475177305,0.624113475177305,0.624113475177305,0.624113475177305,0.624113475177305
22,1.0,rbf,0.6311475409836066,0.5460992907801419,0.6134751773049645,0.5855513307984792,0.6134751773049646
23,1.0,sigmoid,0.654320987654321,0.375886524822695,0.5886524822695035,0.4774774774774775,0.5886524822695035
24,5.0,linear,0.6533333333333333,0.6950354609929078,0.6631205673758865,0.6735395189003437,0.6631205673758865
25,5.0,poly_2,0.5970149253731343,0.5673758865248227,0.5921985815602837,0.5818181818181819,0.5921985815602837
26,5.0,poly_3,0.5955882352941176,0.574468085106383,0.5921985815602837,0.5848375451263539,0.5921985815602837
