,C,kernel,precision,recall,ROC,f1,acc
0,0.1,linear,0.6698278890059712,0.6972577696526508,0.6767615030613326,0.6832676460050161,0.6767627521482114
1,0.1,poly_2,0.6945724526369688,0.6613040828762949,0.6852351716185472,0.6775301242429917,0.6852337132061673
2,0.1,poly_3,0.7255183986575572,0.737720901889092,0.7292943856105626,0.7315687696398356,0.7292948991407154
3,0.1,poly_4,0.7562849928642003,0.8396099939061548,0.7845051432231895,0.7957722074621693,0.7845085014321409
4,0.1,poly_5,0.7828386400431733,0.8839731870810481,0.8193634828628059,0.8303377218088152,0.8193674203181182
5,0.1,rbf,0.7165627165627165,0.6301035953686777,0.6904174729646899,0.6705577172503242,0.6904137973063562
6,0.1,sigmoid,0.527788001472212,0.5243144424131627,0.527576528861384,0.5260454878943507,0.5275763300627704
7,0.5,linear,0.6769715352309846,0.7072516758074345,0.6848666960217085,0.6917804136615605,0.6848680602108599
8,0.5,poly_2,0.7281656804733728,0.749908592321755,0.7349616096664845,0.7388772140498349,0.734962520567981
9,0.5,poly_3,0.766297262059974,0.8595978062157221,0.7987043151020101,0.8102705497156643,0.798708026083247
10,0.5,poly_4,0.7984395318595578,0.8979890310786106,0.8356351786304804,0.8452934090517982,0.8356389786092998
11,0.5,poly_5,0.8310246262093228,0.921267519804997,0.8669599422525716,0.8738223224091093,0.8669632518739716
12,0.5,rbf,0.7635757017947538,0.808897014015844,0.779204723487688,0.7855832396283363,0.7792065330001828
13,0.5,sigmoid,0.5258244422890398,0.5285801340645948,0.5259307301234725,0.5271986871695132,0.5259308915838868
14,1.0,linear,0.6796747967479675,0.7132236441194394,0.6885230848583545,0.6960451977401131,0.6885245901639344
15,1.0,poly_2,0.7429773683611964,0.7962218159658745,0.7603732190507091,0.7686786680785975,0.760375403741849
16,1.0,linear,0.6796747967479675,0.7132236441194394,0.6885230848583545,0.6960451977401131,0.6885245901639344
17,1.0,poly_2,0.7429773683611964,0.7962218159658745,0.7603732190507091,0.7686786680785975,0.760375403741849
18,1.0,poly_3,0.7828478964401294,0.8844606946983546,0.8195462907914006,0.8305579399141629,0.8195502468157718
19,1.0,poly_4,0.8170305676855896,0.9121267519804998,0.8539180810121905,0.8619637201266916,0.8539216283746724
20,1.0,poly_5,0.8536178726242081,0.9360146252285192,0.8877415885772045,0.8929194279734914,0.8877445304406119
21,1.0,rbf,0.773800539083558,0.8747105423522242,0.8094908148133623,0.8211670480549199,0.8094947894448169
22,1.0,sigmoid,0.5255164034021871,0.5271176112126752,0.5255651439778637,0.5263157894736842,0.5255652385885794
23,5.0,linear,0.6807375623332946,0.7154174283973187,0.6899247063975867,0.6976467791775612,0.6899262599792797
24,5.0,poly_2,0.7710712343665035,0.8641072516758075,0.8037625483147444,0.8149425287356321,0.8037662258516668
25,5.0,poly_3,0.8255762897914379,0.916636197440585,0.8614750953073234,0.8687265376840888,0.8614784569443598
26,5.0,poly_4,0.8645739910313901,0.9399146861669714,0.896334719972808,0.9006715328467153,0.896337375830337
27,5.0,poly_5,0.8894921388983147,0.9584399756246191,0.9196758629951471,0.9226798075794908,0.9196782253641295
28,5.0,rbf,0.819366852886406,0.9116392443631932,0.8553198659651169,0.8630437290873428,0.8553232981900176
29,5.0,sigmoid,0.5255002440214739,0.5249238269347959,0.5254433859198602,0.5252118773245533,0.5254433542568103
30,10.0,linear,0.6804362961243908,0.7146861669713589,0.6894981298045483,0.6971408191166855,0.6894996648180877
31,10.0,poly_2,0.7833693304535637,0.8840950639853747,0.8197900965953202,0.8306899513312338,0.8197940154793102
32,10.0,poly_3,0.84490022172949,0.928823887873248,0.8791486577347712,0.884876632801161,0.8791516850508867
33,10.0,poly_4,0.8782991202346041,0.9490554539914686,0.9087671224126042,0.9123074219436472,0.9087695776707905
34,10.0,poly_5,0.9018850783556666,0.9679463741620963,0.9313159467104972,0.9337487508083004,0.9313181790480833
35,10.0,rbf,0.8414647638013054,0.9269957343083486,0.8761624210303323,0.8821619113894688,0.8761655189225425
36,10.0,sigmoid,0.5254609842471608,0.5244363193174894,0.5253824697513825,0.52494815176284,0.5253824120909257
37,15.0,linear,0.6798515253450875,0.714320536258379,0.6889496391677072,0.6966599310590752,0.6889511853251264
38,15.0,poly_2,0.7903575297941495,0.8890920170627666,0.8266157306181702,0.8368224835101807,0.8266195380583826
39,15.0,poly_3,0.857286432160804,0.9356489945155393,0.8899356625429964,0.8947552447552448,0.8899384484124566
40,15.0,poly_4,0.8853884372177055,0.9556368068251067,0.9159583351531677,0.9191723814547799,0.9159607532451703
41,15.0,poly_5,0.9082725615314494,0.9714808043875686,0.9366789687466854,0.9388139685530887,0.936681089645926
42,15.0,rbf,0.855623950755456,0.9317489335770871,0.8872542815130681,0.8920653442240374,0.8872569931135352
43,15.0,sigmoid,0.5159384615384616,0.5109079829372334,0.5157538451985045,0.513410900183711,0.5157535498811627
44,20.0,linear,0.6799257798909892,0.7145642900670323,0.689071516072034,0.6968148324221536,0.6890730696568956
45,20.0,poly_2,0.7937161430119176,0.8928702010968922,0.8303941449170469,0.840378548895899,0.8303979523432263
