,C,kernel,precision,recall,ROC,f1,acc
0,0.1,linear,0.6179187940675905,0.6195003046922608,0.6181972513222396,0.6187085387377518,0.6181973307331342
1,0.1,poly_2,0.7058183795541055,0.6327848872638635,0.6845055591853204,0.6673092988882463,0.6845024072155524
2,0.1,poly_3,0.7426277170150907,0.6537477148080438,0.7135754663752555,0.6953590873736064,0.713571820342495
3,0.1,poly_4,0.7598784194528876,0.6703229737964655,0.7292375473565458,0.7122968335168037,0.7292339569748308
4,0.1,poly_5,0.7766705744431418,0.6459475929311396,0.7300922752564035,0.705303080710626,0.7300871472972149
5,0.1,rbf,0.7406190084908244,0.6591102985984156,0.7141236524683936,0.6974914554717224,0.7141202998354561
6,0.1,sigmoid,0.5284662576687117,0.5249238269347959,0.5282468964025516,0.5266890859064507,0.5282466938875008
7,0.5,linear,0.6205903527717782,0.6303473491773309,0.6224628018436631,0.6254307999274443,0.6224632823450545
8,0.5,poly_2,0.7248168498168498,0.7717245581962218,0.7393483834374576,0.7475355646065758,0.7393503565116705
9,0.5,poly_3,0.7622136899245333,0.7016453382084095,0.7413638685191243,0.7306764817870288,0.7413614479858615
10,0.5,poly_4,0.7740416066989402,0.7210237659963437,0.7552583481371284,0.7465926299848561,0.7552562618075447
11,0.5,poly_5,0.7731904886333943,0.7212675198049969,0.7548317121209285,0.7463270067469576,0.7548296666463526
12,0.5,rbf,0.7652757078986587,0.8761730652041438,0.8037008670730619,0.8169782373998522,0.8037052836857822
13,0.5,sigmoid,0.5286709866731875,0.5269957343083486,0.5285514995286258,0.52783203125,0.5285514047169236
14,1.0,linear,0.6205079060852899,0.6313223644119439,0.6225846341806185,0.6258684226424213,0.6225851666768237
15,1.0,poly_2,0.7240328006728343,0.8393662400975015,0.7597001848951671,0.7774453914319579,0.7597050399171187
16,1.0,poly_3,0.7739150723285114,0.8085313833028641,0.7861525760980433,0.7908446086904691,0.7861539399110244
17,1.0,poly_4,0.7926118755423329,0.7792809262644729,0.7876780057943524,0.785889872173058,0.7876774940581388
18,1.0,poly_5,0.7892087259584355,0.7451553930530165,0.7730530743909645,0.7665496489468406,0.7730513742458407
19,1.0,rbf,0.7826885671061162,0.8827544180377819,0.8188150442212313,0.8297153330660404,0.8188189408251569
20,1.0,sigmoid,0.5261557177615572,0.5271176112126752,0.5261746027784487,0.5266362252663623,0.5261746602474252
21,5.0,linear,0.6208093869731801,0.6319317489335771,0.6229502723214936,0.6263211934529201,0.6229508196721312
22,5.0,poly_2,0.7416535018430753,0.8582571602681291,0.7796283363505443,0.7957062146892655,0.7796331281613749
23,5.0,poly_3,0.7806695464362851,0.881048141377209,0.8167429882897745,0.8278270827369023,0.8167469071850814
24,5.0,poly_4,0.8043665304366531,0.9115173674588666,0.8448981279030072,0.8545963549105869,0.8449021878237553
25,5.0,poly_5,0.8026774053112756,0.898842169408897,0.8389262041583734,0.8480423158742023,0.8389298555670669
26,5.0,rbf,0.8216679485770795,0.9113954905545399,0.8567825819423114,0.86420894487461,0.8567859101712475
27,5.0,sigmoid,0.5040591300133285,0.5070079219987812,0.5040524739199171,0.5055292259083728,0.5040526540313243
28,10.0,linear,0.6208258527827648,0.6321755027422303,0.6230112033457617,0.6264492753623189,0.6230117618380158
29,10.0,poly_2,0.7495199487945381,0.8563071297989031,0.7850526385220746,0.7993628761590533,0.7850569809251021
30,10.0,poly_3,0.7938133100969393,0.8882388787324802,0.8287488884154844,0.8383757045899,0.8287525138643428
31,10.0,poly_4,0.8221520365933348,0.9200487507617306,0.8604997532453216,0.8683499166043596,0.8605033822902066
32,10.0,poly_5,0.8092225201072386,0.9196831200487507,0.8514188394002895,0.8609241300627496,0.8514229995734048
33,10.0,rbf,0.8369275233437083,0.9176112126751981,0.8693980002917677,0.8754142201034825,0.8694009385093546
34,10.0,sigmoid,0.5243000848382015,0.5272394881170018,0.5244071648288569,0.5257656781720953,0.5244073374367725
35,15.0,linear,0.6208258527827648,0.6321755027422303,0.6230112033457617,0.6264492753623189,0.6230117618380158
36,15.0,poly_2,0.7524360209872577,0.8564290067032297,0.7873076286563443,0.8010715914272686,0.7873118410628314
37,15.0,poly_3,0.8010505581089954,0.8921389396709324,0.8352698598890985,0.8441446116588824,0.8352733256139924
38,15.0,poly_4,0.8344472444395749,0.9282145033516148,0.8720180269074017,0.8788368336025847,0.8720214516423914
39,15.0,poly_5,0.8184868492261067,0.9216331505179769,0.8586103344008704,0.867002980967668,0.8586141751477847
40,15.0,rbf,0.8442513368983957,0.9235831809872029,0.8765892501718072,0.8821372446306968,0.8765921140837345
41,15.0,sigmoid,0.525985013294658,0.5304082876294942,0.5261744022252786,0.5281873900115298,0.5261746602474252
42,20.0,linear,0.6208837264998204,0.6319317489335771,0.6230112182015521,0.6263590239188209,0.6230117618380158
43,20.0,poly_2,0.7538991072388943,0.8542352224253504,0.7876734376388088,0.8009370357673409,0.7876774940581388
44,20.0,poly_3,0.8048512786741302,0.8937233394271785,0.838499894969562,0.8469623469623471,0.8385032604058749
45,20.0,poly_4,0.8374152635031707,0.93345521023766,0.8761010814718286,0.8828309607515417,0.876104576756658
46,20.0,poly_5,0.8238796276250271,0.9276051188299818,0.8646436125597983,0.8726709854956143,0.8646474495703578
47,20.0,rbf,0.8483802738506067,0.928823887873248,0.881403655296936,0.8867814754479869,0.881406545188616
48,20.0,sigmoid,0.5220606060606061,0.5249238269347959,0.5221523083967008,0.5234883014281374,0.5221524772990432
